show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,description
s1375,TV Show,Title_375,Sanjay Leela Bhansali,Canada,8/29/2023,2012,PG-13,6 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1376,TV Show,Title_376,Zoya Akhtar,South Korea,5/18/2019,2022,R,8 Seasons,Drama,A drama themed tv show exploring unique stories.
s1377,Movie,Title_377,Christopher Nolan,United States,9/7/2020,2000,TV-14,147 min,Action,A action themed movie exploring unique stories.
s1378,TV Show,Title_378,Christopher Nolan,Canada,8/1/2022,2016,PG-13,3 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1379,Movie,Title_379,Raj Kumar,South Korea,3/28/2019,2002,PG-13,163 min,Action,A action themed movie exploring unique stories.
s1380,TV Show,Title_380,Sanjay Leela Bhansali,United States,11/29/2015,2014,PG,1 Seasons,Drama,A drama themed tv show exploring unique stories.
s1381,TV Show,Title_381,Raj Kumar,United Kingdom,3/22/2024,2003,PG-13,8 Seasons,Romance,A romance themed tv show exploring unique stories.
s1382,TV Show,Title_382,Anurag Kashyap,India,2/27/2018,2003,TV-G,7 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1383,Movie,Title_383,Raj Kumar,India,8/9/2018,2017,TV-14,158 min,Documentary,A documentary themed movie exploring unique stories.
s1384,Movie,Title_384,Raj Kumar,Canada,4/11/2018,2016,TV-14,79 min,Comedy,A comedy themed movie exploring unique stories.
s1385,TV Show,Title_385,Zoya Akhtar,South Korea,3/11/2023,2018,R,4 Seasons,Action,A action themed tv show exploring unique stories.
s1386,Movie,Title_386,Unknown,India,6/23/2023,2010,R,177 min,Comedy,A comedy themed movie exploring unique stories.
s1387,Movie,Title_387,Christopher Nolan,South Korea,9/6/2023,2019,R,168 min,Romance,A romance themed movie exploring unique stories.
s1388,Movie,Title_388,Sanjay Leela Bhansali,South Korea,11/30/2018,2002,TV-G,115 min,Action,A action themed movie exploring unique stories.
s1389,Movie,Title_389,Raj Kumar,Canada,12/22/2015,2007,PG-13,104 min,Action,A action themed movie exploring unique stories.
s1390,Movie,Title_390,Sanjay Leela Bhansali,Canada,5/19/2015,2013,PG-13,108 min,Comedy,A comedy themed movie exploring unique stories.
s1391,Movie,Title_391,Unknown,Canada,3/7/2019,2000,PG,92 min,Comedy,A comedy themed movie exploring unique stories.
s1392,TV Show,Title_392,Unknown,India,4/12/2018,2013,TV-G,2 Seasons,Drama,A drama themed tv show exploring unique stories.
s1393,TV Show,Title_393,Raj Kumar,Canada,1/29/2015,2001,R,7 Seasons,Romance,A romance themed tv show exploring unique stories.
s1394,Movie,Title_394,Anurag Kashyap,India,7/19/2017,2022,TV-MA,180 min,Drama,A drama themed movie exploring unique stories.
s1395,TV Show,Title_395,Raj Kumar,Canada,12/18/2021,2003,PG,7 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1396,TV Show,Title_396,Zoya Akhtar,Japan,10/10/2017,2023,TV-MA,3 Seasons,Action,A action themed tv show exploring unique stories.
s1397,TV Show,Title_397,Christopher Nolan,South Korea,5/26/2022,2018,PG-13,1 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1398,TV Show,Title_398,Anurag Kashyap,Canada,4/7/2017,2005,PG,4 Seasons,Action,A action themed tv show exploring unique stories.
s1399,Movie,Title_399,Raj Kumar,United States,12/17/2015,2024,PG,92 min,Action,A action themed movie exploring unique stories.
s1400,TV Show,Title_400,Sanjay Leela Bhansali,South Korea,2/14/2022,2000,TV-14,3 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1401,TV Show,Title_401,Anurag Kashyap,South Korea,7/17/2020,2016,PG-13,8 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1402,Movie,Title_402,Anurag Kashyap,Canada,10/26/2015,2007,PG-13,174 min,Thriller,A thriller themed movie exploring unique stories.
s1403,Movie,Title_403,Raj Kumar,United Kingdom,10/10/2019,2018,TV-G,167 min,Action,A action themed movie exploring unique stories.
s1404,TV Show,Title_404,Anurag Kashyap,Canada,2/9/2020,2020,PG,1 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1405,TV Show,Title_405,Sanjay Leela Bhansali,South Korea,4/30/2018,2000,PG-13,8 Seasons,Action,A action themed tv show exploring unique stories.
s1406,TV Show,Title_406,Unknown,United States,8/23/2019,2004,PG,1 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1407,TV Show,Title_407,Anurag Kashyap,South Korea,10/12/2020,2015,TV-G,4 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1408,TV Show,Title_408,Unknown,United States,1/24/2017,2005,TV-G,6 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1409,TV Show,Title_409,Sanjay Leela Bhansali,India,2/8/2017,2007,TV-14,8 Seasons,Action,A action themed tv show exploring unique stories.
s1410,Movie,Title_410,Raj Kumar,Japan,5/23/2018,2012,PG,168 min,Romance,A romance themed movie exploring unique stories.
s1411,TV Show,Title_411,Christopher Nolan,South Korea,4/13/2017,2015,PG-13,8 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1412,TV Show,Title_412,Anurag Kashyap,Canada,1/22/2021,2002,PG-13,2 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1413,Movie,Title_413,Christopher Nolan,India,11/23/2024,2018,PG,82 min,Romance,A romance themed movie exploring unique stories.
s1414,Movie,Title_414,Sanjay Leela Bhansali,Japan,3/21/2020,2011,PG,148 min,Action,A action themed movie exploring unique stories.
s1415,Movie,Title_415,Anurag Kashyap,Canada,1/17/2024,2015,PG,70 min,Documentary,A documentary themed movie exploring unique stories.
s1416,Movie,Title_416,Unknown,United Kingdom,4/14/2019,2010,R,155 min,Comedy,A comedy themed movie exploring unique stories.
s1417,TV Show,Title_417,Zoya Akhtar,Canada,5/3/2018,2009,PG-13,3 Seasons,Action,A action themed tv show exploring unique stories.
s1418,TV Show,Title_418,Christopher Nolan,United States,5/20/2016,2024,TV-G,1 Seasons,Action,A action themed tv show exploring unique stories.
s1419,TV Show,Title_419,Anurag Kashyap,United States,9/19/2018,2019,PG-13,5 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1420,TV Show,Title_420,Christopher Nolan,United Kingdom,10/11/2022,2003,R,3 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1421,TV Show,Title_421,Anurag Kashyap,India,3/29/2024,2011,PG,4 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1422,TV Show,Title_422,Raj Kumar,Japan,11/20/2022,2022,TV-14,5 Seasons,Romance,A romance themed tv show exploring unique stories.
s1423,Movie,Title_423,Unknown,Canada,12/31/2018,2001,PG,136 min,Thriller,A thriller themed movie exploring unique stories.
s1424,TV Show,Title_424,Christopher Nolan,United States,4/17/2024,2023,PG,8 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1425,Movie,Title_425,Zoya Akhtar,India,10/13/2024,2021,R,126 min,Documentary,A documentary themed movie exploring unique stories.
s1426,Movie,Title_426,Zoya Akhtar,United Kingdom,12/15/2022,2018,PG-13,63 min,Action,A action themed movie exploring unique stories.
s1427,TV Show,Title_427,Sanjay Leela Bhansali,South Korea,11/17/2018,2024,PG,4 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1428,Movie,Title_428,Anurag Kashyap,United States,10/24/2022,2004,PG-13,64 min,Romance,A romance themed movie exploring unique stories.
s1429,TV Show,Title_429,Christopher Nolan,United Kingdom,3/18/2018,2007,TV-MA,1 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1430,Movie,Title_430,Sanjay Leela Bhansali,Canada,1/30/2017,2006,TV-G,176 min,Romance,A romance themed movie exploring unique stories.
s1431,TV Show,Title_431,Christopher Nolan,Japan,4/12/2017,2013,PG-13,4 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1432,Movie,Title_432,Anurag Kashyap,United States,11/29/2018,2023,TV-14,72 min,Romance,A romance themed movie exploring unique stories.
s1433,TV Show,Title_433,Zoya Akhtar,United States,10/10/2015,2022,TV-G,8 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1434,TV Show,Title_434,Raj Kumar,Canada,5/26/2024,2002,TV-14,8 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1435,TV Show,Title_435,Zoya Akhtar,South Korea,1/14/2016,2017,PG,8 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1436,TV Show,Title_436,Sanjay Leela Bhansali,India,7/17/2015,2015,TV-G,4 Seasons,Romance,A romance themed tv show exploring unique stories.
s1437,TV Show,Title_437,Unknown,Japan,5/21/2023,2022,PG-13,3 Seasons,Romance,A romance themed tv show exploring unique stories.
s1438,Movie,Title_438,Raj Kumar,United States,5/30/2023,2018,TV-G,135 min,Romance,A romance themed movie exploring unique stories.
s1439,Movie,Title_439,Sanjay Leela Bhansali,Japan,7/9/2016,2018,PG,62 min,Drama,A drama themed movie exploring unique stories.
s1440,Movie,Title_440,Anurag Kashyap,United States,12/22/2015,2017,R,174 min,Thriller,A thriller themed movie exploring unique stories.
s1441,TV Show,Title_441,Raj Kumar,Japan,4/13/2019,2019,TV-14,2 Seasons,Romance,A romance themed tv show exploring unique stories.
s1442,Movie,Title_442,Sanjay Leela Bhansali,United Kingdom,8/1/2024,2015,PG,135 min,Documentary,A documentary themed movie exploring unique stories.
s1443,TV Show,Title_443,Anurag Kashyap,United States,11/6/2017,2007,R,8 Seasons,Drama,A drama themed tv show exploring unique stories.
s1444,TV Show,Title_444,Zoya Akhtar,Japan,5/10/2022,2000,TV-G,8 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1445,Movie,Title_445,Unknown,India,1/14/2016,2016,TV-G,165 min,Romance,A romance themed movie exploring unique stories.
s1446,Movie,Title_446,Anurag Kashyap,United Kingdom,11/10/2016,2011,PG,147 min,Romance,A romance themed movie exploring unique stories.
s1447,TV Show,Title_447,Christopher Nolan,United Kingdom,12/28/2021,2020,PG-13,2 Seasons,Drama,A drama themed tv show exploring unique stories.
s1448,Movie,Title_448,Anurag Kashyap,India,11/15/2019,2010,TV-G,157 min,Thriller,A thriller themed movie exploring unique stories.
s1449,TV Show,Title_449,Anurag Kashyap,Japan,6/17/2017,2004,PG-13,8 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1450,TV Show,Title_450,Unknown,Canada,3/17/2015,2011,PG-13,2 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1451,TV Show,Title_451,Christopher Nolan,India,8/19/2015,2016,PG-13,3 Seasons,Romance,A romance themed tv show exploring unique stories.
s1452,TV Show,Title_452,Sanjay Leela Bhansali,Japan,10/6/2019,2005,TV-MA,3 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1453,TV Show,Title_453,Sanjay Leela Bhansali,India,8/19/2017,2000,R,1 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1454,Movie,Title_454,Anurag Kashyap,India,2/2/2024,2004,R,160 min,Documentary,A documentary themed movie exploring unique stories.
s1455,Movie,Title_455,Christopher Nolan,United States,6/7/2021,2024,TV-G,72 min,Comedy,A comedy themed movie exploring unique stories.
s1456,TV Show,Title_456,Christopher Nolan,Japan,8/5/2022,2013,TV-G,4 Seasons,Action,A action themed tv show exploring unique stories.
s1457,TV Show,Title_457,Unknown,Canada,3/12/2021,2004,PG-13,7 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1458,Movie,Title_458,Zoya Akhtar,United States,11/4/2023,2021,TV-MA,107 min,Action,A action themed movie exploring unique stories.
s1459,Movie,Title_459,Sanjay Leela Bhansali,India,10/17/2020,2023,PG-13,106 min,Documentary,A documentary themed movie exploring unique stories.
s1460,TV Show,Title_460,Unknown,South Korea,1/28/2016,2000,TV-MA,1 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1461,Movie,Title_461,Raj Kumar,India,1/13/2018,2017,PG-13,168 min,Drama,A drama themed movie exploring unique stories.
s1462,TV Show,Title_462,Sanjay Leela Bhansali,India,9/24/2015,2015,TV-14,1 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1463,Movie,Title_463,Unknown,Japan,12/28/2017,2008,TV-14,164 min,Comedy,A comedy themed movie exploring unique stories.
s1464,TV Show,Title_464,Sanjay Leela Bhansali,Japan,9/2/2016,2018,PG,8 Seasons,Drama,A drama themed tv show exploring unique stories.
s1465,Movie,Title_465,Zoya Akhtar,United States,10/2/2018,2021,PG-13,141 min,Drama,A drama themed movie exploring unique stories.
s1466,TV Show,Title_466,Raj Kumar,Canada,10/5/2017,2004,TV-G,3 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1467,Movie,Title_467,Zoya Akhtar,United States,8/19/2017,2001,R,93 min,Documentary,A documentary themed movie exploring unique stories.
s1468,Movie,Title_468,Raj Kumar,United Kingdom,8/7/2022,2014,PG,129 min,Thriller,A thriller themed movie exploring unique stories.
s1469,TV Show,Title_469,Anurag Kashyap,India,11/3/2016,2006,TV-G,1 Seasons,Drama,A drama themed tv show exploring unique stories.
s1470,Movie,Title_470,Unknown,South Korea,10/6/2021,2003,TV-14,152 min,Action,A action themed movie exploring unique stories.
s1471,TV Show,Title_471,Raj Kumar,India,11/20/2023,2000,PG-13,5 Seasons,Action,A action themed tv show exploring unique stories.
s1472,Movie,Title_472,Zoya Akhtar,India,8/28/2019,2012,PG,141 min,Comedy,A comedy themed movie exploring unique stories.
s1473,TV Show,Title_473,Sanjay Leela Bhansali,United States,12/2/2020,2019,PG-13,5 Seasons,Romance,A romance themed tv show exploring unique stories.
s1474,Movie,Title_474,Raj Kumar,South Korea,3/17/2021,2021,TV-14,113 min,Comedy,A comedy themed movie exploring unique stories.
s1475,TV Show,Title_475,Unknown,South Korea,1/31/2015,2006,PG,8 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1476,Movie,Title_476,Raj Kumar,South Korea,11/3/2024,2014,TV-14,177 min,Romance,A romance themed movie exploring unique stories.
s1477,TV Show,Title_477,Christopher Nolan,United States,9/28/2018,2022,TV-MA,1 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1478,Movie,Title_478,Sanjay Leela Bhansali,India,11/1/2018,2013,TV-14,152 min,Drama,A drama themed movie exploring unique stories.
s1479,TV Show,Title_479,Unknown,United States,2/27/2018,2022,PG-13,1 Seasons,Action,A action themed tv show exploring unique stories.
s1480,TV Show,Title_480,Unknown,Japan,9/8/2016,2018,R,2 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1481,TV Show,Title_481,Anurag Kashyap,Japan,6/22/2016,2021,TV-14,3 Seasons,Romance,A romance themed tv show exploring unique stories.
s1482,Movie,Title_482,Zoya Akhtar,United States,8/18/2022,2023,TV-G,96 min,Thriller,A thriller themed movie exploring unique stories.
s1483,TV Show,Title_483,Anurag Kashyap,South Korea,6/1/2023,2019,R,4 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1484,Movie,Title_484,Unknown,India,5/20/2017,2023,TV-MA,118 min,Action,A action themed movie exploring unique stories.
s1485,TV Show,Title_485,Sanjay Leela Bhansali,United States,4/11/2015,2017,PG,8 Seasons,Drama,A drama themed tv show exploring unique stories.
s1486,Movie,Title_486,Raj Kumar,United States,11/13/2024,2009,PG,90 min,Comedy,A comedy themed movie exploring unique stories.
s1487,TV Show,Title_487,Raj Kumar,United States,7/27/2023,2008,R,4 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1488,Movie,Title_488,Sanjay Leela Bhansali,United Kingdom,11/13/2018,2024,PG,120 min,Documentary,A documentary themed movie exploring unique stories.
s1489,Movie,Title_489,Unknown,Japan,7/2/2022,2007,TV-14,166 min,Romance,A romance themed movie exploring unique stories.
s1490,TV Show,Title_490,Raj Kumar,South Korea,7/29/2017,2009,R,7 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1491,Movie,Title_491,Raj Kumar,Canada,12/7/2015,2016,PG-13,103 min,Thriller,A thriller themed movie exploring unique stories.
s1492,Movie,Title_492,Raj Kumar,South Korea,12/18/2022,2001,TV-14,163 min,Drama,A drama themed movie exploring unique stories.
s1493,TV Show,Title_493,Zoya Akhtar,Canada,11/9/2017,2005,TV-14,8 Seasons,Action,A action themed tv show exploring unique stories.
s1494,Movie,Title_494,Zoya Akhtar,United Kingdom,2/9/2024,2004,TV-14,113 min,Drama,A drama themed movie exploring unique stories.
s1495,Movie,Title_495,Christopher Nolan,United States,4/11/2024,2008,PG-13,121 min,Comedy,A comedy themed movie exploring unique stories.
s1496,Movie,Title_496,Anurag Kashyap,United Kingdom,2/7/2015,2004,TV-MA,68 min,Comedy,A comedy themed movie exploring unique stories.
s1497,TV Show,Title_497,Sanjay Leela Bhansali,United Kingdom,10/21/2016,2017,TV-G,6 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1498,Movie,Title_498,Sanjay Leela Bhansali,India,7/26/2020,2019,PG,141 min,Action,A action themed movie exploring unique stories.
s1499,TV Show,Title_499,Sanjay Leela Bhansali,Japan,4/10/2019,2008,R,7 Seasons,Romance,A romance themed tv show exploring unique stories.
s1500,Movie,Title_500,Christopher Nolan,Canada,6/19/2024,2016,TV-MA,126 min,Action,A action themed movie exploring unique stories.
s1501,Movie,Title_501,Zoya Akhtar,United States,7/15/2019,2016,R,90 min,Comedy,A comedy themed movie exploring unique stories.
s1502,Movie,Title_502,Unknown,Canada,2/23/2023,2011,PG,178 min,Romance,A romance themed movie exploring unique stories.
s1503,TV Show,Title_503,Unknown,South Korea,11/15/2017,2006,PG-13,4 Seasons,Action,A action themed tv show exploring unique stories.
s1504,Movie,Title_504,Christopher Nolan,Canada,3/29/2016,2002,TV-14,140 min,Action,A action themed movie exploring unique stories.
s1505,Movie,Title_505,Unknown,South Korea,9/1/2019,2009,TV-14,85 min,Romance,A romance themed movie exploring unique stories.
s1506,TV Show,Title_506,Sanjay Leela Bhansali,Japan,9/8/2018,2001,PG-13,6 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1507,Movie,Title_507,Anurag Kashyap,South Korea,8/16/2022,2024,TV-MA,111 min,Action,A action themed movie exploring unique stories.
s1508,TV Show,Title_508,Raj Kumar,Canada,10/24/2024,2002,TV-MA,1 Seasons,Romance,A romance themed tv show exploring unique stories.
s1509,TV Show,Title_509,Zoya Akhtar,Canada,3/29/2017,2015,R,4 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1510,Movie,Title_510,Zoya Akhtar,South Korea,2/11/2017,2001,PG-13,122 min,Documentary,A documentary themed movie exploring unique stories.
s1511,TV Show,Title_511,Christopher Nolan,United Kingdom,1/13/2015,2023,TV-MA,5 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1512,Movie,Title_512,Zoya Akhtar,Japan,2/10/2023,2009,PG-13,170 min,Romance,A romance themed movie exploring unique stories.
s1513,TV Show,Title_513,Sanjay Leela Bhansali,India,12/10/2024,2005,PG,7 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1514,TV Show,Title_514,Unknown,United States,7/9/2017,2021,TV-14,8 Seasons,Romance,A romance themed tv show exploring unique stories.
s1515,Movie,Title_515,Sanjay Leela Bhansali,Canada,4/4/2017,2010,TV-14,119 min,Action,A action themed movie exploring unique stories.
s1516,TV Show,Title_516,Christopher Nolan,United States,8/15/2021,2022,TV-14,2 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1517,TV Show,Title_517,Sanjay Leela Bhansali,India,8/7/2018,2006,PG-13,5 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1518,TV Show,Title_518,Unknown,United States,7/7/2021,2014,PG-13,7 Seasons,Action,A action themed tv show exploring unique stories.
s1519,TV Show,Title_519,Anurag Kashyap,India,4/27/2021,2005,R,2 Seasons,Drama,A drama themed tv show exploring unique stories.
s1520,TV Show,Title_520,Christopher Nolan,South Korea,7/10/2020,2019,TV-14,7 Seasons,Drama,A drama themed tv show exploring unique stories.
s1521,Movie,Title_521,Anurag Kashyap,United Kingdom,5/13/2018,2008,R,180 min,Comedy,A comedy themed movie exploring unique stories.
s1522,TV Show,Title_522,Raj Kumar,Canada,11/27/2016,2021,TV-14,2 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1523,Movie,Title_523,Anurag Kashyap,India,6/27/2022,2019,R,160 min,Documentary,A documentary themed movie exploring unique stories.
s1524,TV Show,Title_524,Raj Kumar,United States,8/7/2017,2011,R,1 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1525,Movie,Title_525,Raj Kumar,Canada,8/31/2021,2018,PG,167 min,Romance,A romance themed movie exploring unique stories.
s1526,Movie,Title_526,Anurag Kashyap,United Kingdom,11/8/2022,2019,R,148 min,Action,A action themed movie exploring unique stories.
s1527,TV Show,Title_527,Christopher Nolan,South Korea,11/20/2021,2002,PG-13,7 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1528,TV Show,Title_528,Unknown,Canada,12/9/2018,2014,R,7 Seasons,Action,A action themed tv show exploring unique stories.
s1529,TV Show,Title_529,Sanjay Leela Bhansali,India,3/10/2015,2001,TV-14,6 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1530,Movie,Title_530,Sanjay Leela Bhansali,United Kingdom,9/13/2024,2020,R,148 min,Documentary,A documentary themed movie exploring unique stories.
s1531,TV Show,Title_531,Unknown,United States,9/11/2023,2001,TV-MA,1 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1532,Movie,Title_532,Raj Kumar,United Kingdom,11/17/2019,2021,TV-G,84 min,Documentary,A documentary themed movie exploring unique stories.
s1533,Movie,Title_533,Raj Kumar,United Kingdom,11/7/2023,2002,TV-14,162 min,Drama,A drama themed movie exploring unique stories.
s1534,Movie,Title_534,Christopher Nolan,Japan,2/25/2021,2005,TV-MA,147 min,Thriller,A thriller themed movie exploring unique stories.
s1535,TV Show,Title_535,Zoya Akhtar,United Kingdom,3/13/2021,2014,TV-14,2 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1536,TV Show,Title_536,Anurag Kashyap,United Kingdom,5/23/2020,2009,PG-13,5 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1537,Movie,Title_537,Raj Kumar,Canada,7/31/2015,2008,TV-G,149 min,Thriller,A thriller themed movie exploring unique stories.
s1538,Movie,Title_538,Sanjay Leela Bhansali,United States,5/22/2016,2000,TV-G,173 min,Comedy,A comedy themed movie exploring unique stories.
s1539,TV Show,Title_539,Christopher Nolan,Canada,8/25/2020,2015,PG-13,3 Seasons,Romance,A romance themed tv show exploring unique stories.
s1540,Movie,Title_540,Anurag Kashyap,Canada,3/2/2019,2005,TV-G,96 min,Documentary,A documentary themed movie exploring unique stories.
s1541,TV Show,Title_541,Christopher Nolan,India,1/10/2023,2008,PG-13,5 Seasons,Romance,A romance themed tv show exploring unique stories.
s1542,Movie,Title_542,Anurag Kashyap,Canada,11/28/2015,2003,TV-MA,72 min,Drama,A drama themed movie exploring unique stories.
s1543,TV Show,Title_543,Anurag Kashyap,Japan,7/27/2022,2001,PG,8 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1544,Movie,Title_544,Unknown,Japan,7/4/2016,2003,TV-14,96 min,Drama,A drama themed movie exploring unique stories.
s1545,TV Show,Title_545,Raj Kumar,India,6/13/2019,2000,PG-13,4 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1546,Movie,Title_546,Christopher Nolan,South Korea,7/30/2017,2018,TV-14,81 min,Comedy,A comedy themed movie exploring unique stories.
s1547,TV Show,Title_547,Christopher Nolan,United States,4/22/2021,2024,TV-MA,4 Seasons,Action,A action themed tv show exploring unique stories.
s1548,TV Show,Title_548,Unknown,United States,4/28/2023,2009,PG,4 Seasons,Drama,A drama themed tv show exploring unique stories.
s1549,Movie,Title_549,Sanjay Leela Bhansali,Canada,12/28/2016,2020,TV-MA,164 min,Action,A action themed movie exploring unique stories.
s1550,Movie,Title_550,Sanjay Leela Bhansali,Canada,5/29/2017,2014,TV-G,166 min,Action,A action themed movie exploring unique stories.
s1551,TV Show,Title_551,Raj Kumar,South Korea,11/2/2022,2021,TV-14,8 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1552,Movie,Title_552,Raj Kumar,Canada,11/18/2023,2018,PG,90 min,Thriller,A thriller themed movie exploring unique stories.
s1553,TV Show,Title_553,Zoya Akhtar,United States,10/10/2016,2015,TV-G,1 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1554,Movie,Title_554,Unknown,United Kingdom,9/26/2017,2020,PG,162 min,Documentary,A documentary themed movie exploring unique stories.
s1555,TV Show,Title_555,Sanjay Leela Bhansali,Japan,3/2/2019,2023,TV-G,2 Seasons,Drama,A drama themed tv show exploring unique stories.
s1556,TV Show,Title_556,Anurag Kashyap,United Kingdom,11/23/2021,2021,TV-MA,8 Seasons,Action,A action themed tv show exploring unique stories.
s1557,TV Show,Title_557,Christopher Nolan,United Kingdom,6/17/2024,2003,PG-13,1 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1558,TV Show,Title_558,Raj Kumar,United States,6/30/2022,2001,TV-14,7 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1559,TV Show,Title_559,Christopher Nolan,United Kingdom,6/1/2019,2024,R,6 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1560,TV Show,Title_560,Christopher Nolan,South Korea,7/10/2022,2012,R,2 Seasons,Drama,A drama themed tv show exploring unique stories.
s1561,Movie,Title_561,Zoya Akhtar,India,12/29/2021,2000,TV-MA,62 min,Thriller,A thriller themed movie exploring unique stories.
s1562,Movie,Title_562,Sanjay Leela Bhansali,Canada,4/28/2023,2016,TV-14,135 min,Comedy,A comedy themed movie exploring unique stories.
s1563,Movie,Title_563,Raj Kumar,India,10/6/2017,2012,TV-14,113 min,Drama,A drama themed movie exploring unique stories.
s1564,TV Show,Title_564,Christopher Nolan,Japan,3/31/2019,2003,TV-MA,5 Seasons,Action,A action themed tv show exploring unique stories.
s1565,TV Show,Title_565,Raj Kumar,Canada,3/14/2017,2006,TV-14,5 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1566,TV Show,Title_566,Anurag Kashyap,United Kingdom,11/18/2022,2016,PG-13,4 Seasons,Romance,A romance themed tv show exploring unique stories.
s1567,TV Show,Title_567,Zoya Akhtar,Japan,4/19/2024,2008,TV-MA,2 Seasons,Drama,A drama themed tv show exploring unique stories.
s1568,Movie,Title_568,Anurag Kashyap,Canada,8/2/2015,2003,PG-13,143 min,Romance,A romance themed movie exploring unique stories.
s1569,Movie,Title_569,Raj Kumar,South Korea,12/24/2023,2018,TV-14,85 min,Comedy,A comedy themed movie exploring unique stories.
s1570,TV Show,Title_570,Raj Kumar,South Korea,6/18/2015,2000,TV-MA,6 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1571,Movie,Title_571,Sanjay Leela Bhansali,South Korea,4/24/2024,2009,TV-14,168 min,Drama,A drama themed movie exploring unique stories.
s1572,Movie,Title_572,Christopher Nolan,South Korea,3/5/2024,2003,TV-MA,66 min,Romance,A romance themed movie exploring unique stories.
s1573,TV Show,Title_573,Christopher Nolan,United Kingdom,9/4/2017,2008,TV-14,1 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1574,Movie,Title_574,Anurag Kashyap,India,8/21/2018,2012,PG-13,101 min,Action,A action themed movie exploring unique stories.
s1575,TV Show,Title_575,Zoya Akhtar,Canada,5/26/2015,2013,PG-13,3 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1576,Movie,Title_576,Unknown,United Kingdom,12/4/2019,2009,TV-14,166 min,Thriller,A thriller themed movie exploring unique stories.
s1577,TV Show,Title_577,Christopher Nolan,South Korea,5/30/2016,2005,TV-MA,5 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1578,TV Show,Title_578,Sanjay Leela Bhansali,India,8/28/2023,2015,R,7 Seasons,Romance,A romance themed tv show exploring unique stories.
